"","gene_id","control1","control2","treat1","treat2"
"476","NM_000502",4,2,0,0
"477","NM_000503",0,0,0,0
"478","NM_000504",0,0,0,0
"479","NM_000505",2,1,3,1
"480","NM_000506",0,0,0,0
"481","NM_000507",0,0,0,0
"482","NM_000508",0,0,0,1
"483","NM_000509",0,0,0,0
"484","NM_000510",0,0,0,0
"485","NM_000511",0,0,0,0
"486","NM_000512",193,156,170,153
"487","NM_000513",0,0,0,0
"488","NM_000514",1,0,1,6
"489","NM_000515",0,0,0,0
"490","NM_000516",0,0,0,0
"491","NM_000517",0,0,0,0
"492","NM_000518",0,0,1,0
"493","NM_000519",1,1,0,0
"494","NM_000520",1320,1365,1713,1435
"495","NM_000521",202,209,373,276
"496","NM_000522",251,230,153,108
"497","NM_000523",18,19,17,11
"498","NM_000524",0,0,1,0
"499","NM_000525",0,0,0,0
"500","NM_000526",2,1,5,3
"501","NM_000527",0,0,0,0
"502","NM_000528",0,0,0,0
"503","NM_000529",0,0,0,0
"504","NM_000530",0,0,0,0
"505","NM_000531",0,0,0,0
"506","NM_000532",0,0,0,0
"507","NM_000533",0,0,0,0
"508","NM_000534",0,0,0,0
"509","NM_000535",0,0,0,0
"510","NM_000536",0,0,0,0
"511","NM_000537",1,5,4,4
"512","NM_000538",24,15,17,19
"513","NM_000539",0,0,1,0
"514","NM_000540",0,0,0,0
"515","NM_000541",0,0,3,1
"516","NM_000542",0,1,0,0
"517","NM_000543",0,0,0,0
"518","NM_000544",0,0,0,0
"519","NM_000545",0,0,0,0
"520","NM_000546",0,0,0,0
"521","NM_000547",0,0,0,0
"522","NM_000548",2,1,0,0
"523","NM_000549",0,0,0,0
"524","NM_000550",0,3,10,8
"525","NM_000551",20,18,21,28
"526","NM_000552",1,5,5,8
"527","NM_000553",209,218,246,189
"528","NM_000554",0,0,2,0
"529","NM_000555",0,0,0,0
"530","NM_000557",161,102,532,328
"531","NM_000558",0,0,0,0
"532","NM_000559",0,0,0,0
"533","NM_000560",0,0,0,0
"534","NM_000561",8,1,1,1
"535","NM_000562",0,0,3,0
"536","NM_000564",0,0,0,0
"537","NM_000565",3,1,0,1
"538","NM_000566",0,0,1,0
"539","NM_000567",0,0,2,0
"540","NM_000569",0,0,0,0
"541","NM_000570",0,0,0,0
"542","NM_000572",0,0,0,0
"543","NM_000573",0,0,0,0
"544","NM_000574",0,0,0,0
"545","NM_000575",10,11,59,47
"546","NM_000576",42,10,363,366
"547","NM_000577",0,0,0,0
"548","NM_000578",9,11,12,8
"549","NM_000579",0,0,0,0
"550","NM_000581",0,0,0,0
"551","NM_000582",0,0,0,0
"552","NM_000583",0,0,0,0
"553","NM_000584",46,33,842,784
"554","NM_000585",0,0,0,0
