"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"NR_029973",0.707659024279384,0.960430970211572,3.62638580806936,0.26484522636131,0.791128694903475,NA
"NR_030342",0.707659024279384,0.960430970211572,3.62638580806936,0.26484522636131,0.791128694903475,NA
"NR_037160",0.707659024279384,0.960430970211572,3.62638580806936,0.26484522636131,0.791128694903475,NA
"NR_038258",0.707659024279384,0.960430970211572,3.62638580806936,0.26484522636131,0.791128694903475,NA
"NR_038324",0.707659024279384,0.960430970211572,3.62638580806936,0.26484522636131,0.791128694903475,NA
"NR_047690",0.707659024279384,0.960430970211572,3.62638580806936,0.26484522636131,0.791128694903475,NA
"NR_073447",0.707659024279384,0.960430970211572,3.62638580806936,0.26484522636131,0.791128694903475,NA
"NR_104159",0.707659024279384,0.960430970211572,3.62638580806936,0.26484522636131,0.791128694903475,NA
"NR_104631",0.707659024279384,0.960430970211572,3.62638580806936,0.26484522636131,0.791128694903475,NA
"NR_109941",0.707659024279384,0.960430970211572,3.62638580806936,0.26484522636131,0.791128694903475,NA
"NR_110112",0.707659024279384,0.960430970211572,3.62638580806936,0.26484522636131,0.791128694903475,NA
"NR_110257",0.707659024279384,0.960430970211572,3.62638580806936,0.26484522636131,0.791128694903475,NA
"NR_110381",0.707659024279384,0.960430970211572,3.62638580806936,0.26484522636131,0.791128694903475,NA
"NR_110773",0.707659024279384,0.960430970211572,3.62638580806936,0.26484522636131,0.791128694903475,NA
"NR_120307",0.707659024279384,0.960430970211572,3.62638580806936,0.26484522636131,0.791128694903475,NA
"NR_122074",0.707659024279384,0.960430970211572,3.62638580806936,0.26484522636131,0.791128694903475,NA
"NR_125719",0.707659024279384,0.960430970211572,3.62638580806936,0.26484522636131,0.791128694903475,NA
"NR_125736",0.707659024279384,0.960430970211572,3.62638580806936,0.26484522636131,0.791128694903475,NA
"NR_126362",0.707659024279384,0.960430970211572,3.62638580806936,0.26484522636131,0.791128694903475,NA
"NR_126390",0.707659024279384,0.960430970211572,3.62638580806936,0.26484522636131,0.791128694903475,NA
"NR_130143",0.707659024279384,0.960430970211572,3.62638580806936,0.26484522636131,0.791128694903475,NA
"NR_130900",0.707659024279384,0.960430970211572,3.62638580806936,0.26484522636131,0.791128694903475,NA
"NR_134276",0.707659024279384,0.960430970211572,3.62638580806936,0.26484522636131,0.791128694903475,NA
"NR_003035",7.18455419275018,-0.28204750115884,1.06514843609686,-0.264796427991179,0.791166288755436,NA
"NM_001199861",2.56059776207795,-0.510175704169014,1.92702426782142,-0.264747939446444,0.791203644401691,NA
"NM_001303100",2.56059776207795,-0.510175704169014,1.92702426782142,-0.264747939446444,0.791203644401691,NA
"NM_032848",11.6641689611003,0.229352168621514,0.866560633273235,0.264669498953799,0.791264076088049,0.963397130924785
"NM_001242854",3.49189804135847,-0.402110886839273,1.51973791932328,-0.26459225747182,0.791323585265309,NA
"NR_027252",3.49189804135847,-0.402110886839273,1.51973791932328,-0.26459225747182,0.791323585265309,NA
"NM_018137",128.212333139513,0.075343823357633,0.284790531199904,0.264558737399688,0.791349410522602,0.963397130924785
"NM_000876",1570.54897172467,0.113557684097272,0.429364135936743,0.264478736328369,0.791411047599804,0.963397130924785
"NM_001076680",53.6314605499243,-0.109353167343545,0.413469363966756,-0.264477073450929,0.791412328782799,0.963397130924785
"NM_032970",320.13023531962,-0.0531885080284058,0.201109547462937,-0.264475300647813,0.791413694659912,0.963397130924785
"NM_018140",8.53982068552465,0.275889658975559,1.04321801284884,0.264460214046874,0.791425318335823,NA
"NM_017742",17.9652333538151,0.182552842252729,0.691166064774827,0.264122982241904,0.791685155244789,0.963397130924785
"NM_005082",443.915360546564,0.0600636429049557,0.227581997536796,0.263920888097682,0.791840879757813,0.963397130924785
"NM_001010866",18.6965001387453,-0.181582231523883,0.688738394589371,-0.263644705958557,0.792053706524918,0.963397130924785
"NM_001720",7.57761422109523,-0.279459109998464,1.06033865644703,-0.263556466888487,0.792121707078681,NA
"NR_046220",3.42645056298752,-0.404537884669384,1.53653017367022,-0.26328014353476,0.792334663126058,NA
"NR_103838",3.42645056298752,-0.404537884669384,1.53653017367022,-0.26328014353476,0.792334663126058,NA
"NR_027418",1043.30698174783,-0.0393579681725718,0.149580710255592,-0.263121950051714,0.792456586176414,0.963397130924785
"NR_003521",85.1641252548924,-0.0885663802979907,0.336607156731386,-0.263114965106541,0.792461969737836,0.963397130924785
"NM_005967",610.300105120665,0.0475882501078877,0.180961179581006,0.262974911072489,0.792569916766614,0.963397130924785
"NM_022098",241.052466467209,-0.0610826440942005,0.232279918732931,-0.262969973587909,0.792573722418887,0.963397130924785
"NM_006959",83.576769404742,-0.0882738539407088,0.335715903965478,-0.2629421272511,0.792595185560705,0.963397130924785
"NM_207582",12.2508026195659,0.220581963797608,0.839286403272242,0.262820847493292,0.792688666282732,0.963397130924785
"NR_073111",2.42970280533605,-0.521304363194948,1.98405813567453,-0.262746516254534,0.792745961223133,NA
"NM_001278554",18.9421582356335,0.176208562174809,0.670858575051213,0.262661265321618,0.792811674503356,0.963397130924785
"NM_019095",44.752417027989,0.118756710967761,0.452165004372865,0.262640208373649,0.79282790588518,0.963397130924785
"NM_000436",275.511198678569,-0.0572784917400455,0.218176005167189,-0.262533415148713,0.792910226965729,0.963397130924785
"NM_001168355",10.3845946957443,-0.237717105976065,0.905551793358797,-0.26251077820115,0.792927676852171,NA
